Species,Growth_rate,Colony_fecundity,Colony_area,Polyps_per_area,Polyp_fecundity,Eggs_per_area,Colony_maximum_diameter,Corallite_width_minimum,Corallite_width_maximum,GrowthForm_CTD,Abund_CTD,MeanPCcover,family_molecules,family_morphology,larval
Leptastrea transversa,NA,NA,NA,NA,NA,NA,NA,5.4,9.2,encrusting,common,0.108,Fungiidae,Faviidae,NA
Leptoria irregularis,NA,NA,NA,NA,NA,NA,150,3.5,6.3,encrusting,uncommon,0.01,Merulinidae,Faviidae,NA
Leptoria phrygia,NA,NA,NA,NA,NA,NA,NA,2.6,3.5,massive,common,0.269,Merulinidae,Faviidae,spawner
Leptoseris amitoriensis,NA,NA,NA,NA,NA,NA,NA,1.6,3.7,NA,NA,NA,NA,NA,NA
Leptoseris cailleti,NA,NA,NA,NA,NA,NA,NA,2.5,3.5,NA,NA,NA,NA,NA,NA
Leptoseris cucullata,NA,NA,NA,NA,NA,NA,NA,2.5,2.9,NA,NA,NA,NA,NA,NA
Leptoseris explanata,NA,NA,NA,NA,NA,NA,NA,2.4,4,laminar,common,0.023,Agariciidae,Agariciidae,spawner
Leptoseris foliosa,NA,NA,NA,NA,NA,NA,NA,1.1,1.4,NA,NA,NA,NA,NA,NA
Leptoseris gardineri,NA,NA,NA,NA,NA,NA,866.6666666666666,1.4,2.5,laminar,uncommon,0.02,Agariciidae,Agariciidae,NA
Leptoseris hawaiiensis,NA,NA,NA,NA,NA,NA,NA,1.6,3.2,encrusting,uncommon,0.043,Agariciidae,Agariciidae,NA
Leptoseris incrustans,NA,NA,NA,NA,NA,NA,NA,1.3,4.4,NA,NA,NA,NA,NA,NA
Leptoseris mycetoseroides,NA,NA,NA,NA,NA,NA,133.33333333333334,1.9,4.4,laminar,common,0.03,Agariciidae,Agariciidae,NA
Leptoseris papyracea,NA,NA,NA,NA,NA,NA,NA,2.5,4.4,NA,NA,NA,NA,NA,NA
Leptoseris scabra,NA,NA,NA,NA,NA,NA,NA,3.8,6.3,encrusting,uncommon,0.021,Agariciidae,Agariciidae,NA
Leptoseris solida,NA,NA,NA,NA,NA,NA,NA,2.5,3.8,NA,NA,NA,NA,NA,NA
Leptoseris striata,NA,NA,NA,NA,NA,NA,7.5,3.2,4,NA,NA,NA,NA,NA,NA
Leptoseris tubulifera,NA,NA,NA,NA,NA,NA,NA,2.2,2.5,NA,NA,NA,NA,NA,NA
Leptoseris yabei,NA,NA,NA,NA,NA,NA,100,2.3,3.7,laminar,uncommon,0.035,Agariciidae,Agariciidae,NA
Cycloseris mokai,NA,NA,NA,NA,NA,NA,8.666666666666666,3.5,7.5,NA,NA,NA,NA,NA,NA
Lithophyllon undulatum,NA,NA,NA,NA,NA,NA,50,2.3,5.1,encrusting,uncommon,0.027,Fungiidae,Fungiidae,NA
Lobophyllia dentata,NA,NA,NA,NA,NA,NA,200,14,32.6,NA,NA,NA,NA,NA,NA
Lobophyllia diminuta,NA,NA,NA,NA,NA,NA,NA,NA,42.5,massive,uncommon,0.02,Lobophyllidae,Mussidae,NA
Lobophyllia flabelliformis,NA,NA,NA,NA,NA,NA,200,28.9,59.5,NA,NA,NA,NA,NA,NA
Lobophyllia hataii,NA,NA,NA,NA,NA,NA,NA,25,30,massive,common,0.1,Lobophyllidae,Mussidae,NA
Lobophyllia hemprichii,NA,NA,NA,NA,NA,NA,500,16.5,26.8,massive,common,0.174,Lobophyllidae,Mussidae,spawner
Lobophyllia pachysepta,NA,NA,NA,NA,NA,NA,50,14.1,32.6,massive,uncommon,0.037,Lobophyllidae,Mussidae,spawner
Lobophyllia robusta,NA,NA,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA
Lobophyllia serrata,NA,NA,NA,NA,NA,NA,200,16.9,40.2,NA,NA,NA,NA,NA,NA
Madracis asanoi,NA,NA,NA,NA,NA,NA,NA,2.1,2.5,NA,NA,NA,NA,NA,NA
Madracis asperula,16.22,NA,NA,NA,NA,NA,NA,1.2,2.1,NA,NA,NA,NA,NA,NA
Madracis decactis,NA,NA,NA,NA,NA,NA,9,1.9,2.2,NA,NA,NA,NA,NA,NA
Madracis formosa,NA,NA,NA,NA,NA,NA,10.23,1.3,1.6,NA,NA,NA,NA,NA,NA
Madracis kirbyi,NA,NA,NA,NA,NA,NA,125,1.9,2.6,digitate,uncommon,0.03,Pocilloporidae,Astrocoeniidae,NA
Madracis mirabilis,22,NA,NA,NA,NA,NA,14.66,1.2,1.5,NA,NA,NA,NA,NA,NA
Madracis pharensis,NA,NA,NA,NA,NA,NA,NA,1.5,2.1,NA,NA,NA,NA,NA,NA
Madracis senaria,NA,NA,NA,NA,NA,NA,NA,1.3,1.8,NA,NA,NA,NA,NA,NA
Manicina areolata,NA,NA,NA,NA,NA,NA,7.675,8.8,15.1,NA,NA,NA,NA,NA,NA
Meandrina braziliensis,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA
Meandrina meandrites,1.15125,NA,NA,NA,NA,NA,16.3,12.8,13.5,NA,NA,NA,NA,NA,NA
Merulina ampliata,1.8745,NA,NA,NA,NA,NA,NA,3.8,6.2,laminar,common,0.138,Merulinidae,Merulinidae,spawner
Merulina scabricula,NA,NA,NA,NA,NA,NA,NA,1.8,3.5,laminar,common,0.278,Merulinidae,Merulinidae,NA
Merulina scheeri,NA,NA,NA,NA,NA,NA,30,4.2,8.2,NA,NA,NA,NA,NA,NA
Micromussa amakusensis,NA,NA,NA,NA,NA,NA,NA,5.7,11.5,NA,NA,NA,NA,NA,NA
Micromussa diminuta,NA,NA,NA,NA,NA,NA,30,3.1,4,NA,NA,NA,NA,NA,NA
Micromussa minuta,NA,NA,NA,NA,NA,NA,NA,2.5,6.4,NA,NA,NA,NA,NA,NA
Montigyra kenti,NA,NA,NA,NA,NA,NA,NA,16,32,NA,NA,NA,NA,NA,NA
Montipora aequituberculata,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,laminar,common,0.173,Acroporidae,Acroporidae,spawner
Montipora altasepta,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,branching_open,uncommon,1.36,Acroporidae,Acroporidae,spawner
Montipora angulata,NA,NA,NA,NA,NA,NA,NA,1,1.3,branching_closed,rare,0.165,Acroporidae,Acroporidae,NA
Montipora aspergillus,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA
Montipora australiensis,NA,NA,NA,NA,NA,NA,NA,0.9,0.1,columnar,rare,0.257,Acroporidae,Acroporidae,NA
Montipora cactus,NA,NA,NA,NA,NA,NA,NA,0.7,1.2,encrusting_long_uprights,uncommon,1.81,Acroporidae,Acroporidae,spawner
Montipora calcarea,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,digitate,uncommon,0.03,Acroporidae,Acroporidae,NA
Montipora caliculata,NA,NA,NA,NA,NA,NA,NA,0.7,1,massive,uncommon,0.161,Acroporidae,Acroporidae,NA
Montipora capitata,25.808749999999996,NA,NA,158.5,NA,NA,NA,0.8,1,encrusting_long_uprights,uncommon,0.124,Acroporidae,Acroporidae,spawner
Montipora capricornis,NA,NA,NA,NA,NA,NA,NA,0.6,1,NA,NA,NA,NA,NA,NA
Montipora cebuensis,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,NA,NA,NA,NA,NA,NA
Montipora circumvallata,NA,NA,NA,NA,NA,NA,NA,0.5,0.6,NA,NA,NA,NA,NA,NA
Montipora cocosensis,NA,NA,NA,NA,NA,NA,NA,1.1,1.4,NA,NA,NA,NA,NA,NA
Montipora confusa,NA,NA,NA,NA,NA,NA,100,0.6,0.7,encrusting_long_uprights,uncommon,0.204,Acroporidae,Acroporidae,NA
Montipora corbettensis,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,digitate,uncommon,0.054,Acroporidae,Acroporidae,NA
Montipora crassituberculata,NA,NA,NA,NA,NA,NA,NA,1.2,1.5,laminar,uncommon,0.157,Acroporidae,Acroporidae,spawner
Montipora cryptus,NA,NA,NA,NA,NA,NA,NA,0.7,0.7,NA,NA,NA,NA,NA,NA
Montipora danae,NA,NA,NA,NA,NA,NA,NA,0.9,1.4,laminar,common,0.093,Acroporidae,Acroporidae,spawner
Montipora delicatula,NA,NA,NA,NA,NA,NA,NA,0.5,0.6,laminar,uncommon,0.584,Acroporidae,Acroporidae,NA
Montipora digitata,19.816999999999997,NA,NA,NA,NA,NA,NA,0.8,0.9,branching_open,common,0.611,Acroporidae,Acroporidae,spawner
Montipora dilatata,NA,NA,NA,NA,NA,NA,30,0.7,1.2,NA,NA,NA,NA,NA,NA
Montipora echinata,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,NA,NA,NA,NA,NA,NA
Montipora efflorescens,NA,NA,NA,NA,NA,NA,NA,0.6,1.2,massive,uncommon,0.174,Acroporidae,Acroporidae,spawner
Montipora effusa,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,NA,NA,NA,NA,NA,NA
Montipora flabellata,NA,NA,NA,NA,NA,NA,50,0.2,0.2,NA,NA,NA,NA,NA,NA
Montipora florida,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,laminar,uncommon,0.211,Acroporidae,Acroporidae,NA
Montipora floweri,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,submassive,uncommon,0.137,Acroporidae,Acroporidae,NA
Montipora foliosa,32.5,NA,NA,NA,NA,NA,NA,0.6,0.9,laminar,common,0.933,Acroporidae,Acroporidae,spawner
Montipora foveolata,NA,NA,NA,NA,NA,NA,NA,2.1,2.9,massive,uncommon,0.132,Acroporidae,Acroporidae,spawner
Montipora friabilis,NA,NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA
Montipora gaimardi,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,NA,NA,NA,NA,NA,NA
Montipora grisea,NA,NA,NA,NA,NA,NA,NA,0.8,1.2,massive,common,0.668,Acroporidae,Acroporidae,spawner
Montipora hemispherica,NA,NA,NA,NA,NA,NA,200,0.5,0.9,NA,NA,NA,NA,NA,NA
Montipora hirsuta,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,branching_open,common,0.168,Acroporidae,Acroporidae,NA
Montipora hispida,NA,NA,NA,NA,NA,NA,NA,0.9,1.4,encrusting_long_uprights,common,0.349,Acroporidae,Acroporidae,spawner
Montipora hodgsoni,NA,NA,NA,NA,NA,NA,NA,0.5,0.6,laminar,uncommon,0.241,Acroporidae,Acroporidae,NA
Montipora hoffmeisteri,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,encrusting,common,0.151,Acroporidae,Acroporidae,spawner
Montipora incrassata,NA,NA,NA,NA,NA,NA,NA,1,1.4,encrusting,uncommon,0.017,Acroporidae,Acroporidae,NA
Montipora informis,NA,NA,NA,NA,NA,NA,NA,1.2,1.3,massive,common,0.45,Acroporidae,Acroporidae,spawner
Montipora kellyi,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA
Montipora lobulata,NA,NA,NA,NA,NA,NA,NA,0.9,1.3,NA,NA,NA,NA,NA,NA
Montipora mactanensis,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA
Montipora malampaya,NA,NA,NA,NA,NA,NA,NA,0.6,0.7,digitate,uncommon,1.488,Acroporidae,Acroporidae,spawner
Montipora meandrina,NA,NA,NA,NA,NA,NA,20,0.7,0.9,encrusting,common,0.025,Acroporidae,Acroporidae,NA
Montipora millepora,NA,NA,NA,NA,NA,NA,NA,4.5,8,encrusting,common,0.038,Acroporidae,Acroporidae,NA
Montipora mollis,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA
Montipora monasteriata,NA,NA,NA,NA,NA,NA,NA,0.7,1.1,laminar,common,0.783,Acroporidae,Acroporidae,spawner
Montipora niugini,NA,NA,NA,NA,NA,NA,30,0.6,0.7,NA,NA,NA,NA,NA,NA
Montipora nodosa,NA,NA,NA,NA,NA,NA,NA,0.8,1.3,massive,uncommon,0.227,Acroporidae,Acroporidae,NA
Montipora orientalis,NA,NA,NA,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA
Montipora pachytuberculata,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA
Montipora palawanensis,NA,NA,NA,NA,NA,NA,200,0.6,0.7,NA,NA,NA,NA,NA,NA
Montipora patula,NA,NA,NA,NA,NA,NA,200,0.5,0.7,NA,NA,NA,NA,NA,NA
Montipora peltiformis,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,submassive,uncommon,0.334,Acroporidae,Acroporidae,spawner
Montipora porites,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,NA,NA,NA,NA,NA,NA
Montipora samarensis,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,branching_open,uncommon,0.148,Acroporidae,Acroporidae,spawner
Montipora saudii,NA,NA,NA,NA,NA,NA,100,0.6,0.8,NA,NA,NA,NA,NA,NA
Montipora setosa,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,NA,NA,NA,NA,NA,NA
Montipora spongiosa,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA
Montipora spongodes,NA,NA,NA,NA,NA,NA,NA,0.9,1.2,encrusting,common,0.243,Acroporidae,Acroporidae,NA
Montipora spumosa,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,encrusting,common,0.279,Acroporidae,Acroporidae,spawner
Montipora stellata,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,digitate,common,0.361,Acroporidae,Acroporidae,spawner
Montipora stilosa,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA
Montipora taiwanensis,NA,NA,NA,NA,NA,NA,50,0.5,0.9,NA,NA,NA,NA,NA,NA
Montipora tuberculosa,NA,NA,NA,NA,NA,NA,NA,0.6,1,massive,common,1.225,Acroporidae,Acroporidae,spawner
Montipora turgescens,NA,NA,NA,NA,NA,NA,NA,0.8,1,massive,common,0.169,Acroporidae,Acroporidae,spawner
Montipora turtlensis,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA
Montipora undata,26,NA,NA,NA,NA,NA,NA,0.8,1.2,laminar,uncommon,0.084,Acroporidae,Acroporidae,NA
Montipora venosa,NA,NA,NA,NA,NA,NA,NA,1.2,1.8,massive,uncommon,0.15,Acroporidae,Acroporidae,spawner
Montipora verrilli,17.2,NA,NA,NA,NA,NA,NA,0.7,0.8,NA,NA,NA,NA,NA,NA
Montipora verrucosa,7.431923076923077,NA,NA,NA,NA,NA,NA,0.8,1.4,laminar,uncommon,0.096,Acroporidae,Acroporidae,spawner
Montipora verruculosa,NA,NA,NA,NA,NA,NA,200,0.7,0.8,NA,NA,NA,NA,NA,NA
Montipora vietnamensis,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,digitate,uncommon,0.256,Acroporidae,Acroporidae,NA
Moseleya latistellata,NA,NA,NA,NA,NA,NA,25,56,73,NA,NA,NA,NA,NA,NA
Mussa angulosa,NA,NA,NA,NA,NA,NA,32.285,NA,60,NA,NA,NA,NA,NA,NA
Mussismilia braziliensis,8,NA,NA,NA,NA,NA,NA,6.6,14.9,NA,NA,NA,NA,NA,NA
Mussismilia harttii,NA,NA,NA,NA,NA,NA,100,15.6,20,NA,NA,NA,NA,NA,NA
Mussismilia hispida,NA,NA,NA,NA,NA,NA,50,15.4,20.5,NA,NA,NA,NA,NA,NA
Mycedium elephantotus,NA,NA,NA,NA,NA,NA,300,7.5,10,laminar,common,0.121,Merulinidae,Pectiniidae,spawner
Mycedium mancaoi,NA,NA,NA,NA,NA,NA,NA,3.8,7.2,laminar,uncommon,0.11,Merulinidae,Pectiniidae,NA
Mycedium robokaki,NA,NA,NA,NA,NA,NA,NA,3.8,7.2,laminar,common,0.197,Merulinidae,Pectiniidae,NA
Mycedium steeni,NA,NA,NA,NA,NA,NA,30,1.6,3.1,NA,NA,NA,NA,NA,NA
Mycedium umbra,NA,NA,NA,NA,NA,NA,100,8.3,17,NA,NA,NA,NA,NA,NA
Mycetophyllia aliciae,NA,NA,NA,NA,NA,NA,13.62,15,20,NA,NA,NA,NA,NA,NA
Mycetophyllia danaana,NA,NA,NA,NA,NA,NA,NA,10,13.8,NA,NA,NA,NA,NA,NA
Mycetophyllia ferox,NA,NA,NA,NA,NA,NA,17.12,7.7,11,NA,NA,NA,NA,NA,NA
Mycetophyllia lamarckiana,NA,NA,NA,NA,NA,NA,9.14,11,18.5,NA,NA,NA,NA,NA,NA
Mycetophyllia reesi,NA,NA,NA,NA,NA,NA,NA,7.9,10,NA,NA,NA,NA,NA,NA
Nemenzophyllia turbida,NA,NA,NA,NA,NA,NA,200,7.5,13,NA,NA,NA,NA,NA,NA
Oculina diffusa,NA,NA,NA,NA,NA,NA,NA,3.7,5.7,NA,NA,NA,NA,NA,NA
Oculina patagonica,NA,NA,NA,NA,NA,NA,NA,1.5,3.3,NA,NA,NA,NA,NA,NA
Oculina valenciennesi,NA,NA,NA,NA,NA,NA,NA,2.4,2.7,NA,NA,NA,NA,NA,NA
Oculina varicosa,NA,NA,NA,NA,NA,NA,50,3.1,4.1,NA,NA,NA,NA,NA,NA
Oulastrea crispata,NA,NA,NA,NA,NA,NA,NA,3.5,5.6,NA,NA,NA,NA,NA,NA
Oulophyllia bennettae,NA,NA,NA,NA,NA,NA,NA,12.8,17.4,massive,uncommon,0.1,Merulinidae,Faviidae,spawner
Oulophyllia crispa,21,NA,NA,NA,NA,NA,100,7,11.6,massive,uncommon,0.102,Merulinidae,Faviidae,spawner
Oulophyllia levis,NA,NA,NA,NA,NA,NA,NA,8.6,18.1,NA,NA,NA,NA,NA,NA
Oxypora convoluta,NA,NA,NA,NA,NA,NA,200,4.5,7.3,NA,NA,NA,NA,NA,NA
Oxypora crassispinosa,NA,NA,NA,NA,NA,NA,NA,6.2,8.8,NA,NA,NA,NA,NA,NA
Oxypora egyptensis,NA,NA,NA,NA,NA,NA,100,10.4,11.3,NA,NA,NA,NA,NA,NA
Oxypora glabra,NA,NA,NA,NA,NA,NA,NA,5,7.5,laminar,common,0.114,Lobophyllidae,Pectiniidae,spawner
Oxypora lacera,NA,NA,NA,NA,NA,NA,NA,6.1,8.8,laminar,common,0.117,Lobophyllidae,Pectiniidae,spawner
Pachyseris foliosa,NA,NA,NA,NA,NA,NA,NA,3.2,6.3,NA,NA,NA,NA,NA,NA
Pachyseris gemmae,NA,NA,NA,NA,NA,NA,NA,1.4,3.3,NA,NA,NA,NA,NA,NA
Pachyseris involuta,NA,NA,NA,NA,NA,NA,NA,3.5,4.1,NA,NA,NA,NA,NA,NA
Pachyseris rugosa,NA,NA,NA,NA,NA,NA,633.3333333333334,2.2,4.8,laminar,common,0.218,Pachyseridae,Agariciidae,spawner
Pachyseris speciosa,NA,NA,NA,NA,NA,NA,2,2.4,4.6,laminar,common,0.279,Pachyseridae,Agariciidae,spawner
Palauastrea ramosa,NA,NA,NA,NA,NA,NA,NA,1.1,1.2,NA,NA,NA,NA,NA,NA
Merulina triangularis,NA,NA,NA,NA,NA,NA,266.6666666666667,7.5,8.8,NA,NA,NA,NA,NA,NA
Blastomussa omanensis,NA,NA,NA,NA,NA,NA,NA,2.8,7,NA,NA,NA,NA,NA,NA
Pavona bipartita,NA,NA,NA,NA,NA,NA,100,1.9,3.1,submassive,uncommon,0.513,Agariciidae,Agariciidae,NA
Pavona cactus,9.411666666666667,NA,NA,NA,NA,NA,1000,1,1.4,digitate,common,0.027,Agariciidae,Agariciidae,spawner
Pavona clavus,14.206451612903226,NA,NA,NA,NA,NA,2000,1.7,3.4,columnar,common,0.072,Agariciidae,Agariciidae,spawner
Pavona danai,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,NA,NA,NA,NA,NA,NA
Pavona decussata,NA,NA,NA,NA,NA,NA,20,1.9,3.5,digitate,common,0.149,Agariciidae,Agariciidae,NA
Pavona diffluens,NA,NA,NA,NA,NA,NA,NA,2.1,2.6,NA,NA,NA,NA,NA,NA
Pavona duerdeni,10.2,NA,NA,NA,NA,NA,NA,1.9,2.1,NA,NA,NA,NA,NA,NA
Pavona explanulata,NA,NA,NA,NA,NA,NA,NA,2.3,3,laminar,common,0.09,Agariciidae,Agariciidae,NA
Pavona frondifera,NA,NA,NA,NA,NA,NA,NA,1.5,2.6,NA,NA,NA,NA,NA,NA
Pavona gigantea,9.121176470588235,NA,NA,NA,NA,NA,NA,2.7,5.7,NA,NA,NA,NA,NA,NA
Pavona maldivensis,12.05,NA,NA,NA,NA,NA,30,2.9,4.1,columnar,common,0.135,Agariciidae,Agariciidae,NA
Pavona minuta,NA,NA,NA,NA,NA,NA,550,1.9,3.3,submassive,uncommon,0.04,Agariciidae,Agariciidae,NA
Pavona varians,3.8,NA,NA,NA,NA,NA,NA,4.7,9.3,encrusting,common,0.246,Agariciidae,Agariciidae,spawner
Pavona venosa,NA,NA,NA,NA,NA,NA,NA,5.2,9.3,encrusting,common,0.189,Agariciidae,Agariciidae,NA
Pavona xarifae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pectinia africanus,NA,NA,NA,NA,NA,NA,30,13.8,16.6,NA,NA,NA,NA,NA,NA
Pectinia alcicornis,NA,NA,NA,NA,NA,NA,NA,18.8,21.2,NA,NA,NA,NA,NA,NA
Physophyllia ayleni,NA,NA,NA,NA,NA,NA,NA,11,15,NA,NA,NA,NA,NA,NA
Pectinia elongata,NA,NA,NA,NA,NA,NA,NA,7.5,11,NA,NA,NA,NA,NA,NA
Pectinia lactuca,NA,NA,NA,NA,NA,NA,100,27.5,30,encrusting,common,0.106,Merulinidae,Pectiniidae,spawner
Pectinia maxima,NA,NA,NA,NA,NA,NA,100,7.5,15,NA,NA,NA,NA,NA,NA
Pectinia paeonia,NA,NA,NA,NA,NA,NA,100,30,35,laminar,common,0.054,Merulinidae,Pectiniidae,spawner
Pectinia pygmaeus,NA,NA,NA,NA,NA,NA,NA,4.5,4.7,NA,NA,NA,NA,NA,NA
Pectinia teres,NA,NA,NA,NA,NA,NA,NA,4,6.2,NA,NA,NA,NA,NA,NA
Physogyra lichtensteini,NA,NA,NA,NA,NA,NA,100,6,20,NA,NA,NA,NA,NA,NA
Platygyra acuta,NA,NA,NA,NA,NA,NA,NA,4.3,5.2,NA,NA,NA,NA,NA,NA
Platygyra carnosus,NA,NA,NA,NA,NA,NA,40,3,5,NA,NA,NA,NA,NA,NA
Platygyra contorta,NA,NA,NA,NA,NA,NA,NA,2.8,5.6,NA,NA,NA,NA,NA,NA
Platygyra crosslandi,NA,NA,NA,NA,NA,NA,NA,4.2,5.9,NA,NA,NA,NA,NA,NA
Platygyra daedalea,22,NA,NA,NA,NA,NA,NA,5.8,10,massive,common,0.115,Merulinidae,Faviidae,spawner
Platygyra lamellina,7.4,NA,NA,NA,NA,NA,NA,8.1,9.1,massive,uncommon,0.127,Merulinidae,Faviidae,spawner
Platygyra pini,NA,NA,NA,NA,NA,NA,NA,4.7,7.2,massive,common,0.094,Merulinidae,Faviidae,spawner
Platygyra ryukyuensis,NA,NA,NA,NA,NA,NA,NA,1.6,3.3,massive,uncommon,0.055,Merulinidae,Faviidae,spawner
Platygyra verweyi,NA,NA,NA,NA,NA,NA,NA,2.8,4.7,massive,uncommon,0.03,Merulinidae,Faviidae,NA
Platygyra yaeyamaensis,NA,NA,NA,NA,NA,NA,NA,3.7,5.1,NA,NA,NA,NA,NA,NA
Plerogyra discus,NA,NA,NA,NA,NA,NA,30,NA,20.8,NA,NA,NA,NA,NA,NA
Plerogyra simplex,NA,NA,NA,NA,NA,NA,NA,15,20,NA,NA,NA,NA,NA,NA
Plerogyra sinuosa,NA,NA,NA,NA,NA,NA,100,15,30,massive,common,0.03,Plesiastreidae,Euphyllidae,NA
Astrea devantieri,NA,NA,NA,NA,NA,NA,150,2.5,4.5,NA,NA,NA,NA,NA,NA
Plesiastrea versipora,4.1375,NA,NA,NA,NA,NA,233.33333333333334,2.9,4.6,massive,uncommon,0.051,Plesiastreidae,Faviidae,spawner
Pocillopora ankeli,NA,NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA
Pocillopora capitata,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,NA,NA,NA,NA,NA,NA
Pocillopora damicornis,28.96445652173913,NA,NA,53.46666666666667,NA,NA,200,0.8,1,branching_closed,common,0.168,Pocilloporidae,Pocilloporidae,NA
Pocillopora danae,8.2,NA,NA,NA,NA,NA,100,0.8,1.2,NA,NA,NA,NA,NA,NA
Pocillopora effusa,NA,NA,NA,NA,NA,NA,200,0.6,1.1,NA,NA,NA,NA,NA,NA
Pocillopora elegans,36.9,NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA
Pocillopora eydouxi,41.36666666666667,NA,NA,NA,NA,NA,100,0.8,1,branching_open,common,0.729,Pocilloporidae,Pocilloporidae,spawner
Pocillopora fungiformis,NA,NA,NA,NA,NA,NA,200,0.7,0.8,NA,NA,NA,NA,NA,NA
Pocillopora indiania,NA,NA,NA,NA,NA,NA,100,1.1,1.2,NA,NA,NA,NA,NA,NA
Pocillopora inflata,31.5,NA,NA,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA
Pocillopora kelleheri,NA,NA,NA,NA,NA,NA,NA,0.8,1.2,NA,NA,NA,NA,NA,NA
Pocillopora ligulata,14.5,NA,NA,NA,NA,NA,50,0.6,0.8,NA,NA,NA,NA,NA,NA
Pocillopora meandrina,20.483,NA,NA,66.4,NA,NA,100,0.6,0.7,branching_closed,common,0.905,Pocilloporidae,Pocilloporidae,spawner
Pocillopora molokensis,NA,NA,NA,NA,NA,NA,NA,0.7,1.3,NA,NA,NA,NA,NA,NA
Pocillopora verrucosa,28.96857142857143,NA,NA,129,NA,NA,50,0.3,0.7,branching_closed,common,1.506,Pocilloporidae,Pocilloporidae,spawner
Pocillopora woodjonesi,NA,NA,NA,NA,NA,NA,NA,0.6,1.1,branching_open,uncommon,0.102,Pocilloporidae,Pocilloporidae,NA
Pocillopora zelli,NA,NA,NA,NA,NA,NA,NA,0.7,1.2,NA,NA,NA,NA,NA,NA
Podabacia crustacea,NA,NA,NA,NA,NA,NA,150,1.9,3,encrusting,common,0.025,Fungiidae,Fungiidae,NA
Podabacia lankaensis,NA,NA,NA,NA,NA,NA,NA,3.8,4.3,NA,NA,NA,NA,NA,NA
Podabacia motuporensis,NA,NA,NA,NA,NA,NA,NA,2.3,2.8,encrusting,uncommon,0.062,Fungiidae,Fungiidae,NA
Podabacia sinai,NA,NA,NA,NA,NA,NA,100,2,2.7,NA,NA,NA,NA,NA,NA
Polyphyllia novaehiberniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyphyllia talpina,NA,NA,NA,NA,NA,NA,NA,NA,NA,massive,common,0.018,Fungiidae,Fungiidae,NA
Porites annae,NA,NA,NA,NA,NA,NA,NA,1,1.1,digitate,common,0.214,Poritidae,Poritidae,spawner
Porites aranetai,NA,NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA
Porites arnaudi,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,NA,NA,NA,NA,NA,NA
Porites attenuata,NA,NA,NA,NA,NA,NA,NA,1.6,2.1,branching_closed,common,0.671,Poritidae,Poritidae,NA
Porites branneri,NA,NA,NA,NA,NA,NA,NA,1.4,1.8,NA,NA,NA,NA,NA,NA
Porites brighami,NA,NA,NA,NA,NA,NA,10,1,1.5,NA,NA,NA,NA,NA,NA
Porites cocosensis,NA,NA,NA,NA,NA,NA,NA,1,1.5,NA,NA,NA,NA,NA,NA
